FOOTWEAR_DESCRIPTION,FOOTWEAR_MRP,FOOTWEAR_CURRENT_PRICE
GC-4003 Black Men's Clogs,Rs. 899.00,Rs. 814.00
GC-4003 Off White Men's Clogs,Rs. 899.00,Rs. 814.00
2GC-01 Men's Outdoor Sandal,Rs. 799.00,Rs. 649.00
2GC-16 Black Men's Outdoor Sandal,Rs. 699.00,Rs. 519.00
GC-4003 Olive Men's Clogs,Rs. 899.00,Rs. 814.00
2GC-18 Men's Outdoor Sandal,Rs. 749.00,Rs. 489.00
GC-4001 Black Men's Clogs,Rs. 999.00,Rs. 849.00
GC-4002 Black Men's Clogs,Rs. 999.00,Rs. 900.00
GC-10 Grey Men's Outdoor Sandal,"Rs. 1,049.00",Rs. 787.00
SD-064 Navy Men's Sandals,Rs. 799.00,Rs. 599.00
GC-04 Black Men's Outdoor Sandal,Rs. 849.00,Rs. 659.00
GC-4002 Off White Men's Clogs,Rs. 999.00,Rs. 849.00
GC-4001 Navy Men's Clogs,Rs. 999.00,Rs. 900.00
SD-057 Navy Men's Sandals,Rs. 799.00,Rs. 679.00
GC-22103 Green Men's Sandals,"Rs. 1,119.00",Rs. 859.00
GC-15 New Men's Outdoor Sandal,Rs. 749.00,Rs. 699.00
GC-4002 Beige Men's Clogs,Rs. 999.00,Rs. 799.00
GC-4001 Olive Men's Clogs,Rs. 999.00,Rs. 849.00
GC-04 Navy Men's Outdoor Sandal,Rs. 849.00,Rs. 687.00
2GC-03 Men's Outdoor Sandal,Rs. 799.00,Rs. 699.00
SD-054 Blue Men's Outdoor Sandal,Rs. 699.00,Rs. 519.00
QUICK-2 Men's Outdoor Sandal,Rs. 599.00,Rs. 579.00
GC-22106 Grey Men's Sandals,"Rs. 1,299.00",Rs. 949.00
COREL Grey Men's Sandals,Rs. 799.00,Rs. 609.00
GC-15 Men's Outdoor Sandal,Rs. 749.00,Rs. 694.00
GC-11 Black Men's Outdoor Sandal,"Rs. 1,049.00",Rs. 846.00
GC-09 Black Men's Outdoor Sandal,"Rs. 1,049.00",Rs. 839.00
GC-09 Navy Men's Outdoor Sandal,"Rs. 1,049.00",Rs. 964.00
GC-05 Black Men's Outdoor Sandal,Rs. 699.00,Rs. 574.00
GC-2211 Black Men's Sandals,"Rs. 1,119.00",Rs. 856.00
CRAVT Blue Men's Sandals,Rs. 849.00,Rs. 619.00
SD-053 Navy Sandals,Rs. 699.00,Rs. 529.00
GC-2210 Grey Men's Sandals,"Rs. 1,119.00",Rs. 837.00
3K-905 Blue Men's Outdoor Sandal,Rs. 599.00,Rs. 479.00
GC-2303 Navy Men's Sandals,"Rs. 1,399.00","Rs. 1,019.00"
GC-14 Grey Men's Outdoor Sandal,Rs. 849.00,Rs. 669.00
GC-2304 Black Men's Sandals,Rs. 799.00,Rs. 659.00
SD-057 Black Men's Sandals,Rs. 799.00,Rs. 599.00
XPERIA-2 Brown Men's Sandals,Rs. 799.00,Rs. 709.00
GC-2308 Black Men's Sandals,Rs. 999.00,Rs. 759.00
2GC-03 Men's Outdoor Sandal,Rs. 799.00,Rs. 679.00
XPERIA-2 Grey Men's Sandals,Rs. 799.00,Rs. 689.00
CRAVT Black Men's Sandal,Rs. 849.00,Rs. 619.00
2GC-07 Men's Outdoor Sandal,Rs. 649.00,Rs. 537.00
GC-22103 Navy Men's Sandals,"Rs. 1,119.00",Rs. 789.00
SD-055 Black Men's Outdoor Sandal,Rs. 599.00,Rs. 579.00
SD-050 Grey Men's Sandals,Rs. 699.00,Rs. 529.00
CAMP COLT Blue Men's Sandals,Rs. 899.00,Rs. 719.00
CRAVT Blue Men's Sandal,Rs. 849.00,Rs. 587.00
3K-911 Men's Outdoor Sandal,Rs. 599.00,Rs. 499.00
SD-PF016 Navy Men's Sandals,Rs. 999.00,Rs. 694.00
CAMP PASHTO Blue Men's Sandals,Rs. 899.00,Rs. 669.00
3K-903 Men's Outdoor Sandal,Rs. 599.00,Rs. 535.00
GC-22125 Black Men's Sandals,Rs. 899.00,Rs. 749.00
XPERIA-2 Grey Men's Sandals,Rs. 799.00,Rs. 729.00
GC-2308 Navy Men's Sandals,Rs. 999.00,Rs. 700.00
JOY (N) Blue Men's Sandals,Rs. 849.00,Rs. 619.00
GC-4001 Beige Men's Clogs,Rs. 999.00,Rs. 819.00
2GC-16 Men's Outdoor Sandal,Rs. 699.00,Rs. 649.00
2GC-07 Men's Outdoor Sandal,Rs. 649.00,Rs. 537.00
GC-22912 Blue Men's Sandal,Rs. 799.00,Rs. 619.00
GC-22107 Black Men's Sandals,Rs. 899.00,Rs. 709.00
JOY Blue Men's Sandals,Rs. 849.00,Rs. 700.00
2GC-18 Men's Outdoor Sandal,Rs. 749.00,Rs. 489.00
2GC-16 Grey Men's Outdoor Sandal,Rs. 699.00,Rs. 529.00
2GC-12 Men's Outdoor Sandal,Rs. 649.00,Rs. 499.00
GC-2301 Navy Men's Sandals,Rs. 949.00,Rs. 749.00
SD-054 Black Men's Sandals,Rs. 699.00,Rs. 464.00
SD-054 Men's Outdoor Sandal,Rs. 699.00,Rs. 464.00
2GC-06 Men's Black Sandals,Rs. 849.00,Rs. 629.00
2GC-06 Grey Men's Sports Sandal,Rs. 849.00,Rs. 699.00
GC-15 Beige Men's Sandals,Rs. 749.00,Rs. 609.00
QUICK-2 Black Men's Sandals,Rs. 599.00,Rs. 535.00
2GC-16 Navy Men's Sandals,Rs. 699.00,Rs. 529.00
GC-15 Navy Men's Outdoor Sandal,Rs. 749.00,Rs. 629.00
COREL Black Men's Sandals,Rs. 799.00,Rs. 609.00
GC-2305 Blue Men's Sandals,Rs. 999.00,Rs. 759.00
SD-PF016 Black Men's Sandals,Rs. 999.00,Rs. 694.00
GC-15 Grey Men's Sandals,Rs. 749.00,Rs. 709.00
2GC-16 Men's Outdoor Sandal,Rs. 699.00,Rs. 616.00
GC-21 Navy Men's Outdoor Sandal,"Rs. 1,049.00",Rs. 737.00
XPERIA-2 Black Men's Sandals,N/A,Rs. 799.00
GC-22105 Grey Men's Sandals,Rs. 899.00,Rs. 689.00
GC-22902 Grey Men's Sandals,Rs. 799.00,Rs. 619.00
CAMP PASHTO Black Men's Sandals,Rs. 899.00,Rs. 624.00
GC-11 Black Men's Outdoor Sandal,"Rs. 1,049.00",Rs. 839.00
GC-17(SD-171) Men's Outdoor Sandal,Rs. 699.00,Rs. 519.00
GC-2308 Grey Men's Sandals,Rs. 999.00,Rs. 700.00
GC-2213 Navy Men's Sandals,Rs. 799.00,Rs. 619.00
GC-15 Black Men's Outdoor Sandal,Rs. 749.00,Rs. 629.00
CAMP PASHTO Blue Men's Sandals,Rs. 899.00,Rs. 624.00
2GC-18 Men's Outdoor Sandal,Rs. 749.00,Rs. 489.00
GC-02 Black Men's Sandals,Rs. 799.00,Rs. 619.00
SD-071 Black Men's Sandals,N/A,Rs. 599.00
GC-2304 Green Men's Sandals,Rs. 799.00,Rs. 639.00
CAMP PASHTO Blue Men's Sandal,Rs. 899.00,Rs. 669.00
GC-22902 Black Men's Sandals,Rs. 799.00,Rs. 619.00
JAZZY Navy Sandals,Rs. 799.00,Rs. 629.00
GC-11 Grey Men's Outdoor Sandal,"Rs. 1,049.00",Rs. 733.00
GC-2209 Grey Men's Sandals,N/A,"Rs. 1,119.00"
SD-PF029 Blue Men's Sandals,Rs. 999.00,Rs. 694.00
GC-14 Black Men's Outdoor Sandal,Rs. 849.00,Rs. 639.00
GC-14 Navy Men's Outdoor Sandal,Rs. 849.00,Rs. 637.00
SD-050 Black Men's Sandals,Rs. 699.00,Rs. 529.00
GC-22118 Navy Men's Sandals,"Rs. 1,499.00","Rs. 1,201.00"
GC-2305 Grey Men's Sandals,Rs. 999.00,Rs. 694.00
GC-2301 Black Men's Sandals,Rs. 949.00,Rs. 729.00
GC-22124 Brown Men's Sandals,Rs. 799.00,Rs. 659.00
GC-2201 Black Men's Sandal,Rs. 899.00,Rs. 668.00
GC-2213 Grey Men's Sandals,Rs. 799.00,Rs. 589.00
SD-PF029 Men's Black Sandals,Rs. 999.00,Rs. 694.00
2GC-12 Men's Outdoor Sandal,Rs. 649.00,Rs. 509.00
CRAVT Grey Men's Sandals,Rs. 849.00,Rs. 619.00
GC-22110 Black Men's Sandals,"Rs. 1,119.00",Rs. 859.00
JOY Grey Men's Sandals,Rs. 849.00,Rs. 649.00
SD-054 Navy Men's Sandals,Rs. 699.00,Rs. 529.00
SD-053 Red Sandals,Rs. 699.00,Rs. 559.00
GC-21 Blue Men's Outdoor Sandal,"Rs. 1,049.00",Rs. 737.00
SD-063 Navy Men's Sandals,Rs. 799.00,Rs. 599.00
BRENT Black Men's Sandals,Rs. 849.00,Rs. 619.00
GC-22105 Black Men's Sandals,Rs. 899.00,Rs. 669.00
GC-22109 Grey Men's Sandals,Rs. 899.00,Rs. 739.00
GC-6001 Navy Men's Sandals,Rs. 749.00,Rs. 629.00
GC-22902 Blue Men's Sandals,Rs. 799.00,Rs. 599.00
SD-060 Navy Men's Outdoor Sandal,Rs. 699.00,Rs. 649.00
GC-6001 Black Men's Sandals,Rs. 749.00,Rs. 629.00
GC-22107 Grey Men's Sandals,Rs. 899.00,Rs. 689.00
CAMP PASHTO Grey Men's Sandals,Rs. 899.00,Rs. 624.00
JOY Black Men's Sandals,Rs. 849.00,Rs. 619.00
GC-04 Black Men's Outdoor Sandal,Rs. 849.00,Rs. 639.00
JOY Red Men's Sports Sandals,Rs. 849.00,Rs. 619.00
3K-912 Grey Men's Sandals,Rs. 599.00,Rs. 499.00
2GC-12 Navy Men's Sandal,Rs. 649.00,Rs. 489.00
2GC-03 Men's Outdoor Sandal,Rs. 799.00,Rs. 659.00
SD-067 Black Men's Sandals,Rs. 699.00,Rs. 589.00
GC-17(SD-171) Black Men's Sandals,Rs. 699.00,Rs. 529.00
GC-17(SD-171) Navy Men's Sandals,Rs. 699.00,Rs. 519.00
GC-2205 Navy Men's Sandals,N/A,Rs. 799.00
GC-15 Grey Men's Sandals,Rs. 749.00,Rs. 699.00
JAZZY Red Men's Outdoor Sandal,Rs. 799.00,Rs. 649.00
GC-2305 Green Men's Sandals,Rs. 999.00,Rs. 759.00
2GC-16 Black Men's Sandals,Rs. 699.00,Rs. 519.00
CAMP COLT Black Men's Sandals,Rs. 899.00,Rs. 609.00
GC-22904 Blue Men's Sandals,Rs. 849.00,Rs. 669.00
GC-21 Red Men's Outdoor Sandal,"Rs. 1,049.00",Rs. 737.00
HUNK Navy Men's Outdoor Sandal,Rs. 699.00,Rs. 539.00
3K-912 Men's Outdoor Sandal,Rs. 599.00,Rs. 515.00
GC-22139 Black Men's Sandals,"Rs. 1,119.00",Rs. 919.00
GC-22133 Blue Men's Sandals,"Rs. 1,049.00",Rs. 839.00
CAMP DRAG Blue Men's Sandals,"Rs. 1,049.00",Rs. 733.00
CAMP COLT Black Men's Sandals,Rs. 899.00,Rs. 629.00
CAMP COLT Grey Men's Sandals,Rs. 899.00,Rs. 599.00
BRENT Grey Men's Sandals,Rs. 849.00,Rs. 619.00
SD-055 Red Men's Sandals,Rs. 599.00,Rs. 489.00
COREL Blue Men's Sandals,Rs. 799.00,Rs. 609.00
SD-069 Navy Men's Sandals,Rs. 849.00,Rs. 587.00
GC-21 Black Men's Outdoor Sandal,"Rs. 1,049.00",Rs. 737.00
JAZZY Men's Outdoor Sandal,Rs. 799.00,Rs. 639.00
GC-22129 Grey Men's Sandals,Rs. 999.00,Rs. 919.00
SD-050 Navy Men's Sandals,Rs. 699.00,Rs. 519.00
COREL Blue Men's Sandals,Rs. 799.00,Rs. 609.00
GC-17(SD-171) Red Men's Sandals,Rs. 699.00,Rs. 519.00
2GC-12 Red Men's Sandals,Rs. 649.00,Rs. 549.00
SD-PF018 Red Men's Sandals,Rs. 999.00,Rs. 694.00
SD-PF016 Green Men's Sandals,Rs. 999.00,Rs. 694.00
SD-055 Red Men's Sandals,Rs. 599.00,Rs. 509.00
GC-2215 Navy Men's Sandals,N/A,Rs. 849.00
GC-912 Grey Men's Outdoor Sandal,Rs. 699.00,Rs. 565.00
2GC-06 Grey Men's Outdoor Sandal,Rs. 849.00,Rs. 706.00
XPERIA-2 Navy Men's Sandals,Rs. 799.00,Rs. 739.00
GC-17(SD-171) Men's Outdoor Sandal,Rs. 699.00,Rs. 529.00
GC-22123 Grey Men's Sandals,Rs. 799.00,Rs. 739.00
GC-22108 Black Men's Sandals,Rs. 899.00,Rs. 624.00
GC-22109 Beige Men's Sandals,Rs. 899.00,Rs. 689.00
GC-2306 Navy Men's Sandals,Rs. 999.00,Rs. 694.00
CAMP MAX Black Men's Sandals,"Rs. 1,049.00",Rs. 679.00
CAMP MAX Green Men's Sandals,"Rs. 1,049.00",Rs. 679.00
BRENT Blue Men's Sandals,Rs. 849.00,Rs. 619.00
GC-22912 Blue Men's Sandal,Rs. 799.00,Rs. 619.00
SD-PF023 Maroon Sandals,Rs. 899.00,Rs. 669.00
GC-2221 Blue Men's Sandals,"Rs. 1,119.00",Rs. 786.00
GC-22108 Navy Men's Sandals,Rs. 899.00,Rs. 719.00
GC-2206 Grey Men's Sandals,Rs. 949.00,Rs. 706.00
GC-22139 Brown Men's Sandals,"Rs. 1,119.00",Rs. 919.00
GC-22122 Grey Men's Sandals,Rs. 799.00,Rs. 649.00
GC-17(SD-171) Men's Outdoor Sandal,Rs. 699.00,Rs. 519.00
GC-2203 Grey Men's Sandal,Rs. 899.00,Rs. 688.00
GC-22129 Olive Men's Sandals,Rs. 999.00,Rs. 919.00
GC-22107 Navy Men's Sandals,Rs. 899.00,Rs. 669.00
GC-2305 Black Men's Sandals,Rs. 999.00,Rs. 694.00
CAMP DRAG Grey Men's Sandals,"Rs. 1,049.00",Rs. 733.00
GC-2301 Green Men's Sandals,Rs. 949.00,Rs. 661.00
SD-067 Grey Men's Sandals,Rs. 699.00,Rs. 609.00
GC-22920 Blue Men's Sandals,Rs. 849.00,Rs. 669.00
GC-15 Black Men's Sandal,Rs. 749.00,Rs. 694.00
SD-069 Black Men's Sandals,Rs. 849.00,Rs. 629.00
GC-2203 Black Men's Sandals,Rs. 899.00,Rs. 668.00
GC-09 Black Men's Sandals,"Rs. 1,049.00",Rs. 839.00
GC-22930 Blue Men's Sandals,Rs. 899.00,Rs. 689.00
GC-2206 Black Men's Sandals,Rs. 949.00,Rs. 759.00
GC-2206 Navy Men's Sandals,Rs. 949.00,Rs. 709.00
GC-2306 Black Men's Sandals,Rs. 999.00,Rs. 694.00
GC-2303 Grey Men's Sandals,"Rs. 1,399.00",Rs. 929.00
GC-2306 Navy Men's Sandals,Rs. 999.00,Rs. 694.00
CAMP DRAG Grey Men's Sandals,"Rs. 1,049.00",Rs. 733.00
GC-2303 Black Men's Sandals,"Rs. 1,399.00",Rs. 929.00
CAMP DRAG Black Men's Sandals,"Rs. 1,049.00",Rs. 733.00
GC-2304 Black Men's Sandals,Rs. 799.00,Rs. 599.00
BRENT Cream Men's Sandal,Rs. 849.00,Rs. 619.00
CAMP PASHTO Green Men's Sandals,Rs. 899.00,Rs. 624.00
SD-067 Navy Sandals,Rs. 699.00,Rs. 609.00
2GC-904 Men's Outdoor Sandal,Rs. 749.00,Rs. 553.00
GC-2207 Black Men's Sandal,Rs. 749.00,Rs. 573.00
GC-2204 Black Men's Sandal,N/A,Rs. 949.00
GC-22105 Navy Men's Sandals,Rs. 899.00,Rs. 689.00
GC-2213 Black Men's Sandals,Rs. 799.00,Rs. 599.00
GC-22133 Green Men's Sandals,"Rs. 1,049.00",Rs. 839.00
GC-09 Men's Outdoor Sandal,"Rs. 1,049.00",Rs. 839.00
GC-22121 Black Men's Sandals,Rs. 799.00,Rs. 659.00
GC-22123 Black Men's Sandals,Rs. 799.00,Rs. 739.00
GC-22121 Grey Men's Sandals,Rs. 799.00,Rs. 659.00
GC-2305 Navy Men's Sandals,Rs. 999.00,Rs. 694.00
GC-2306 Black Men's Sandals,Rs. 999.00,Rs. 694.00
CAMP MAX Blue Men's Sandals,"Rs. 1,049.00",Rs. 679.00
CAMP DRAG Blue Men's Sandals,"Rs. 1,049.00",Rs. 733.00
GC-2304 Grey Men's Sandals,Rs. 799.00,Rs. 599.00
GC-22904 Grey Men's Sandals,Rs. 849.00,Rs. 629.00
GC-22140 Black Men's Sandals,"Rs. 1,119.00",Rs. 919.00
GC-22105 Brown Men's Sandals,Rs. 899.00,Rs. 701.00
QUICK-2 Grey Men's Sandals,Rs. 599.00,Rs. 519.00
2GC-03 Black Men's Sandals,Rs. 799.00,Rs. 669.00
BRENT Off White Men's Sandals,Rs. 849.00,Rs. 619.00
GC-22133 Grey Men's Sandals,"Rs. 1,049.00",Rs. 839.00
GC-22121 Green Men's Sandals,Rs. 799.00,Rs. 639.00
GC-17(SD-171) Brown Men's Sandals,Rs. 699.00,Rs. 509.00
2GC-16 Red Men's Sandals,Rs. 699.00,Rs. 509.00
GC-22115 Black Men's Sandals,Rs. 999.00,Rs. 694.00
CAMP DRAG Blue Men's Sandals,"Rs. 1,049.00",Rs. 733.00
CAMP COLT Blue Men's Sandals,Rs. 899.00,Rs. 609.00
2GC-904 Men's Outdoor Sandal,Rs. 749.00,Rs. 579.00
GC-22127 Black Men's Sandals,Rs. 949.00,Rs. 874.00
SD-159(QUICK) Black Men's Sandals,N/A,Rs. 649.00
2GC-01 Red Men's Sandals,Rs. 799.00,Rs. 629.00
SL-406 Black Men's Flip Flops,Rs. 799.00,Rs. 619.00
GC-22133 Brown Men's Sandals,"Rs. 1,049.00",Rs. 839.00
GC-17(SD-171) Green Men's Sandals,Rs. 699.00,Rs. 464.00
GC-2206 Grey Men's Sandals,Rs. 949.00,Rs. 656.00
GC-22118 Black Men's Sandals,"Rs. 1,499.00","Rs. 1,201.00"
SD-024 Red Men's Outdoor Sandal,Rs. 799.00,Rs. 619.00
GC-22123 Blue Men's Sandals,Rs. 849.00,Rs. 784.00
GC-22116 Olive Men's Sandals,Rs. 999.00,Rs. 740.00
GC-22118 Grey Men's Sandals,"Rs. 1,499.00","Rs. 1,201.00"
GC-2306 Blue Men's Sandals,Rs. 999.00,Rs. 694.00
GC-2306 Brown Men's Sandals,Rs. 999.00,Rs. 694.00
GC-22115 Grey Men's Sandals,Rs. 999.00,Rs. 694.00
CAMP MAX Blue Men's Sandals,"Rs. 1,049.00",Rs. 679.00
GC-2305 Black Men's Sandals,Rs. 999.00,Rs. 694.00
CAMP MAX Grey Men's Sandals,"Rs. 1,049.00",Rs. 679.00
GC-2306 Grey Men's Sandals,Rs. 999.00,Rs. 694.00
GC-2306 Grey Men's Sandals,Rs. 999.00,Rs. 694.00
GC-2306 Black Men's Sandals,Rs. 999.00,Rs. 694.00
SD-064 Beige Men's Sandals,Rs. 799.00,Rs. 599.00
3K-901 Blue Men's Sandals,Rs. 899.00,Rs. 624.00
